iteration,time_seconds,compliance,volume_fraction,change,time_fe_assembly,time_fe_solve,time_filter,time_optimizer
1,0.284256,1026.84306045241,0.5,0.2,0.039104,0.1794894,0.0031055,0.0124329
2,0.5169493,590.467840915293,0.4998841652909,0.2,0.0176476,0.1124526,0.0019846,0.0023009
3,0.6270827,419.741446998418,0.500175081566676,0.2,0.0166484,0.0781747,0.0005533,0.0021478
4,0.7417097,353.334063758886,0.500184256831982,0.2,0.0164176,0.0870713,0.0005401,0.0023356
5,0.843167,334.541255163044,0.499942671559893,0.144049641730338,0.0173432,0.0648928,0.0014227,0.0022029
6,0.9319966,324.109253358025,0.499967154747397,0.175114228419655,0.0128308,0.0424234,0.0002447,0.0014853
7,1.0194376,316.743524436293,0.499892826915705,0.123613888968586,0.013571,0.0686785,0.0003036,0.0022525
8,1.128183,309.586786300415,0.500127941076361,0.154810807578526,0.0167857,0.0869616,0.0003006,0.0024549
9,1.2123183,303.419998657229,0.49987905885041,0.119247941132541,0.0152688,0.0643354,0.0002922,0.0021399
10,1.2999174,296.990782600945,0.500149572991671,0.134823278878282,0.0142281,0.0694705,0.000213,0.001725
11,1.3943183,292.117525961585,0.499795013632231,0.111340964372656,0.0177263,0.0719022,0.000281,0.0020923
12,1.482856,286.961561581807,0.500014407082421,0.120980707585311,0.0163015,0.0681502,0.0002496,0.0017367
13,1.5644472,281.937769358281,0.499789165847337,0.103643550077636,0.0151398,0.0631135,0.0002307,0.0014301
14,1.6339378,275.507048626029,0.500153304419568,0.118266338868626,0.0141709,0.0516543,0.0002425,0.001656
15,1.7084867,268.289888072194,0.500183176271515,0.11084365016137,0.0143344,0.0563956,0.0002554,0.0019329
16,1.7788799,260.622459626009,0.499909231234805,0.125421900336977,0.0136599,0.0533844,0.0002181,0.0014608
17,1.8421233,251.877266001573,0.500128077939726,0.104950456665805,0.0125219,0.0474608,0.0002259,0.0012726
18,1.9017589,243.630148929365,0.499857732852528,0.121350679371167,0.0093333,0.0470482,0.0001974,0.0015287
19,1.962772,235.852033509379,0.499822775287827,0.104897842967098,0.0110005,0.0466335,0.0001843,0.0016181
20,2.0308383,229.27512063902,0.500066099397845,0.0886020465442995,0.0135517,0.0510348,0.0001601,0.00175
21,2.0941652,225.287708310288,0.499946189243775,0.0619704556175603,0.0107691,0.0491388,0.0002204,0.0015397
22,2.1526855,223.373392741139,0.500013742201765,0.0411383307463036,0.0121317,0.0434299,0.0002248,0.0013974
23,2.2079318,222.670471586234,0.499954819489098,0.0273711846118658,0.0099417,0.0420093,0.0002249,0.0014637
24,2.2679009,222.162116571816,0.500073940347092,0.0244442071244763,0.0098581,0.0475074,0.0001724,0.0012656
25,2.3240956,221.911564377507,0.500078460811515,0.0243938784564932,0.0120113,0.04067,0.0002278,0.0018223
26,2.3794075,221.766916691017,0.500035617232633,0.0253866712389698,0.0087559,0.0435554,0.0001749,0.0013068
27,2.4377455,221.629039836349,0.500044264500072,0.0249179906730449,0.0117074,0.0432607,0.0002261,0.0016175
28,2.4966572,221.521100553197,0.500041056384165,0.0243917972852657,0.0107327,0.0450885,0.0001535,0.0013362
29,2.552603,221.43780082434,0.500021851249452,0.0236032583718951,0.0118413,0.0414547,0.0001594,0.0012406
30,2.6104016,221.365846898088,0.499995547965005,0.0226328125974361,0.0101004,0.0449101,0.0001865,0.0013655
31,2.6699576,221.3119574107,0.499954355550378,0.0220855105753381,0.01164,0.0450112,0.0001673,0.0013998
32,2.7358613,221.264922715725,0.499910822583029,0.0220636712635569,0.0121215,0.0505029,0.0001612,0.001454
33,2.7970047,221.071981089556,0.500088612816894,0.0215750809142791,0.0122163,0.0456343,0.0001566,0.0015145
34,2.8571284,221.066219150726,0.500039412284062,0.0220908866168219,0.0101609,0.0461874,0.0002074,0.0020462
35,2.9216971,220.997010110184,0.50005883680471,0.021253578393361,0.01068,0.0499469,0.0001565,0.0022978
36,2.9927005,220.968731184626,0.500020265762542,0.0212019292545124,0.0107715,0.0563656,0.0002708,0.0018462
37,3.0648467,220.913979850949,0.50000151126794,0.021012528747568,0.0135728,0.0550868,0.0002152,0.0015506
38,3.1397165,220.875043098871,0.499953476162882,0.0207933698399281,0.0134213,0.0582073,0.0002101,0.0015918
39,3.2025151,220.819181760102,0.49991374835843,0.0211600476201078,0.0091538,0.0497834,0.0002049,0.0018089
40,3.2687084,220.622790522717,0.500076584396757,0.0206333854479158,0.0129963,0.0504103,0.0001758,0.0012732
41,3.3244855,220.626682987034,0.499998809363181,0.0206541087485254,0.0105684,0.0422818,0.0002241,0.0014492
42,3.3821642,220.568921156979,0.499996532790582,0.0199464679328992,0.0106162,0.0443804,0.0001728,0.0011828
43,3.4425751,220.544318969811,0.499953023679603,0.0189550854166218,0.0094154,0.0473762,0.0004253,0.0012982
44,3.500844,220.499030549064,0.499929342152516,0.0192112127836584,0.0089323,0.0468789,0.00018,0.0011129
45,3.5581084,220.316055441181,0.500108337459213,0.017949971049548,0.0095921,0.0441967,0.0002719,0.001647
46,3.6167444,220.298934906372,0.500074083668218,0.0178664758520863,0.0087114,0.0472511,0.0001575,0.0010799
47,3.6766331,220.236623325297,0.500082360777943,0.0174637398390212,0.0111001,0.0461196,0.0001963,0.0012153
48,3.7370703,220.208584040789,0.500041664729821,0.0172690111785104,0.012324,0.0455331,0.0001746,0.0011689
49,3.8127353,220.159368628044,0.500017382882414,0.0171958165513063,0.0108984,0.0616623,0.0002135,0.0012551
50,3.871048,220.132515985882,0.499964437594691,0.01786571416378,0.0110791,0.0446088,0.0001676,0.0011769
51,3.9377926,220.102613634695,0.499918395776366,0.0191181327440209,0.0115749,0.052232,0.0002438,0.0012061
52,4.0071662,219.923143207813,0.500096337642561,0.0175830123325813,0.0118233,0.0534957,0.0002494,0.001701
53,4.083155,219.914105812436,0.50006114406104,0.0168584102133243,0.0195092,0.0532608,0.0001926,0.0010934
54,4.1452065,219.856790782923,0.500075758424481,0.0161619370480088,0.0118683,0.046801,0.00024,0.0014067
55,4.2209273,219.834787122772,0.500042693558105,0.0157288163476147,0.0136467,0.0591003,0.0002057,0.0011073
56,4.2877297,219.794836280661,0.500025695777604,0.0154231184893853,0.0117313,0.0522128,0.0001658,0.0010925
57,4.3550458,219.771405120136,0.499986289302131,0.0152542777651418,0.0106619,0.053429,0.000233,0.0011041
58,4.4263268,219.737082635332,0.499956789742036,0.0151258796608613,0.0135442,0.0541796,0.0002955,0.0013516
59,4.4836432,219.712067634461,0.499915044697606,0.0156561636093479,0.0111464,0.0436937,0.0001521,0.0010865
60,4.5424085,219.527192090538,0.500105130896878,0.0151172710878456,0.0100558,0.0459194,0.0001811,0.0012192
61,4.597191,219.53468518042,0.500059035922954,0.016230151900639,0.0091376,0.0424888,0.0002244,0.0010901
62,4.6541688,219.490582197267,0.500070919597698,0.0159531051793544,0.0088667,0.0455459,0.0001675,0.0011961
63,4.7146084,219.493065841909,0.500028221391042,0.0154532094382407,0.0115278,0.0463399,0.000216,0.0011603
64,4.7758354,219.475607015157,0.50001017361418,0.0147961473113237,0.0100637,0.0482218,0.0003276,0.0012573
