iteration,time_seconds,compliance,volume_fraction,change,time_fe_assembly,time_fe_solve,time_filter,time_optimizer
1,3.1012973,1071.08671875003,0.5,0.2,0.4367278,2.2658476,0.0350384,0.3221689
2,6.1417947,601.852213676385,0.499870013334068,0.2,0.4454173,2.2045499,0.0307925,0.3195767
3,8.7991302,430.095125936779,0.500040819944864,0.2,0.4416057,1.8245075,0.0335825,0.3184568
4,11.6195268,365.569365150647,0.500141051686503,0.2,0.4753432,1.9368314,0.0329703,0.3337963
5,14.2714595,349.212607380303,0.499967571509983,0.160027022252053,0.4255969,1.8341046,0.034235,0.3119704
6,17.2040672,338.874672416766,0.499903771178655,0.195082686588065,0.4587426,2.0583208,0.0321818,0.3403116
7,20.0214484,331.664610869795,0.499990898689458,0.141444280916003,0.4923643,1.9553745,0.0294843,0.3051294
8,22.7881356,325.487084351984,0.499842520980071,0.173000426304805,0.4361348,1.9299092,0.0297643,0.333698
9,25.6380347,319.923313492389,0.499998731798903,0.14047412370252,0.4653017,2.01099,0.032632,0.3039867
10,28.4654809,314.769957153908,0.499884789189234,0.146395632960812,0.4758448,1.9428835,0.0290519,0.3479929
11,31.1522788,309.293054495679,0.500107775196299,0.180318117086461,0.438586,1.8491528,0.031544,0.3269562
12,33.9860974,304.525251024231,0.499935430503871,0.154190861903335,0.4185039,2.0329172,0.0285227,0.3210992
13,36.7472411,299.77911085961,0.500164899840117,0.1793337220098,0.4154796,1.9763818,0.0297291,0.3062884
14,39.574165,295.41318759018,0.50019347286689,0.172794641118568,0.4415624,2.0162249,0.030346,0.3028598
15,42.4975691,291.056399798363,0.500015139494712,0.184740536826872,0.4698438,2.037898,0.0290631,0.351229
16,45.357405,286.163993021842,0.500132016525351,0.2,0.456299,2.0187049,0.0340493,0.3165795
17,48.1200313,281.3716770137,0.500099169557128,0.2,0.4195315,1.954827,0.0323975,0.3176716
18,51.2127141,277.037689094956,0.499987555262044,0.2,0.4652377,2.1813205,0.0306481,0.3721022
19,54.1030253,272.928605009232,0.500034131126699,0.2,0.4880105,2.0123181,0.0298912,0.3248298
20,56.7882087,269.151838364401,0.500091133962783,0.2,0.4564262,1.8647619,0.0291527,0.3008664
21,59.4572256,265.684774872572,0.500027458699759,0.2,0.4236307,1.8706804,0.03,0.3112944
22,62.2521489,262.24357898454,0.499972537964328,0.2,0.438073,1.9749402,0.0314765,0.3120851
23,64.9017326,258.776011122088,0.499923058122541,0.2,0.4210268,1.8544764,0.0294252,0.3085578
24,67.7182552,255.197483294103,0.500068399980676,0.2,0.4665631,1.9696179,0.0311074,0.3145189
25,70.4335648,252.063445478335,0.499969648222566,0.2,0.407463,1.9065178,0.0299706,0.3351961
26,73.147607,249.58020819616,0.500030636213992,0.2,0.4527805,1.885128,0.032104,0.306591
27,75.7854918,247.887685786274,0.499983189566442,0.2,0.433922,1.8312052,0.0292506,0.3058748
28,78.5617577,246.767203881816,0.499952709670507,0.2,0.4450084,1.96089,0.0301643,0.3058425
29,81.3118835,245.980924549022,0.500033153867337,0.2,0.4082034,1.966422,0.0304382,0.3098021
30,84.0169204,245.435491890391,0.50000436293909,0.2,0.4522049,1.8842032,0.0296237,0.300477
31,86.7773985,244.991287792419,0.499968618280723,0.2,0.422353,1.9636251,0.0305624,0.3065101
32,89.6343154,244.607228841644,0.499973193076844,0.172510399608948,0.4511739,2.0202733,0.0317161,0.3166751
33,92.3620379,244.285761868101,0.500015432500346,0.18668079376058,0.417751,1.9376961,0.0324814,0.3051257
34,95.1619025,244.057192695217,0.499974447699507,0.196499750983199,0.4339392,1.9992149,0.0304993,0.3008119
35,97.9773064,243.834048404821,0.499974917436329,0.2,0.4112911,2.0090083,0.0323492,0.326204
36,100.7518221,243.614424150879,0.500007782869822,0.2,0.459806,1.9373671,0.0306257,0.3104765
37,103.5201066,243.436712094619,0.50000515374511,0.2,0.4027128,1.9790398,0.028953,0.3230095
38,106.3163382,243.30561543595,0.499983526559159,0.13936123340857,0.4246347,1.9900772,0.0341522,0.310247
39,109.0595877,243.165111040544,0.500019481695704,0.147354465528901,0.4212536,1.9343012,0.0329861,0.3178967
40,111.8788083,243.068869973487,0.499996953772858,0.154460289842982,0.4753609,1.9737457,0.0293721,0.307434
41,114.7539764,242.967980463939,0.499996813362621,0.159672244677234,0.4243447,2.0576179,0.0338431,0.3225635
42,117.5751812,242.861540170624,0.500017588576227,0.163218174073387,0.4295604,2.0265294,0.0298086,0.2998081
43,120.4128426,242.779126932837,0.500005960391087,0.171703946962838,0.416837,2.0298223,0.0316642,0.3215413
44,123.2461324,242.686852714388,0.50001869701315,0.18412121336468,0.3974338,2.0628955,0.0299791,0.3064475
45,126.0707996,242.621925428272,0.499995283400434,0.181244488423744,0.4042368,2.0379238,0.0319201,0.3137554
46,128.8185129,242.550543887223,0.500005910253331,0.118112823683894,0.3977811,1.9822162,0.0326031,0.2992224
47,131.6100188,242.5084130563,0.499987190430764,0.102982733034727,0.4230384,1.9875673,0.0303379,0.312718
48,134.4205077,242.453782733566,0.499999794992524,0.106124640393304,0.4066175,2.0353545,0.0294125,0.3037218
49,137.2546834,242.408543732302,0.500001440597673,0.109182783023171,0.4213311,2.0396665,0.0280061,0.3100852
50,140.0445563,242.366587239856,0.500001234199398,0.113408594268037,0.3993197,1.9887802,0.029786,0.3361295
51,142.8454775,242.324941044837,0.500003807499597,0.117137886896054,0.4392789,1.9999804,0.02811,0.3007834
52,145.6673622,242.283372895748,0.500008941870503,0.120159808007587,0.4138199,2.0376785,0.0291075,0.3067428
53,148.4739864,242.258413460128,0.499986975888979,0.123693331162924,0.4180011,2.0126984,0.0329133,0.3091083
