iteration,time_seconds,compliance,volume_fraction,change,time_fe_assembly,time_fe_solve,time_filter,time_optimizer
1,2.7099847,1071.08671875003,0.5,0.2,0.4320538,2.1979435,0.0136686,0.0226384
2,5.8112631,606.158717167562,0.49998462659236,0.2,0.4903626,2.3658348,0.0128665,0.0109281
3,8.3119961,427.727002854598,0.499932323963026,0.2,0.4673133,1.9729092,0.0103575,0.0099294
4,10.7356085,358.932139715177,0.5000576727094,0.2,0.4545374,1.9056967,0.0108865,0.0119802
5,13.1322793,339.888791794279,0.500028124449997,0.143482385587051,0.4526286,1.8767054,0.0122624,0.0105593
6,15.7444301,329.557793632712,0.500032714430847,0.176072268820049,0.4421888,2.0906024,0.0104603,0.0102924
7,18.2529673,321.866093224393,0.500217598225538,0.123667230135841,0.4361827,2.0163101,0.0108368,0.0108061
8,20.7729996,315.345682421385,0.500037263847063,0.156833741233283,0.4861753,1.9773466,0.0113063,0.0108396
9,23.6073316,309.03781709541,0.499925875270407,0.119769590027459,0.4587988,2.3153806,0.0108943,0.0142097
10,26.5452206,303.005347131111,0.49985002256428,0.137773831799483,0.5135094,2.3671308,0.0105637,0.0107072
11,29.2385512,297.168152607738,0.500104938661813,0.113638269774626,0.4981109,2.1365202,0.0110997,0.0119456
12,32.0079665,292.329577030383,0.500013425694478,0.123591589152827,0.5209549,2.1934578,0.0102213,0.0104652
13,34.8529736,286.730054193013,0.500215511843536,0.106053714006373,0.4752596,2.3108832,0.0105137,0.0120082
14,37.7793335,281.172294919904,0.499856320760238,0.120468878867469,0.4999336,2.3686358,0.0108671,0.0116619
15,40.4383426,273.853659873912,0.499953757587965,0.112329989736174,0.4623011,2.1378975,0.0106033,0.0111577
16,43.0436287,265.986001218,0.499941264393169,0.127084675873395,0.4799104,2.070468,0.0107688,0.0110999
17,45.7678644,257.613620482533,0.499923182225243,0.105967224346401,0.4439477,2.2204894,0.0103211,0.0116576
18,48.6630112,249.202890126335,0.500030163365827,0.123176955751874,0.5109683,2.3224557,0.0103055,0.0126661
19,52.1349044,241.548734966101,0.499874569586097,0.110901953846038,0.5877027,2.8291955,0.0101214,0.0104273
20,55.0124953,234.853859255644,0.500006848724085,0.0846523170470006,0.4305782,2.388158,0.0110901,0.0116559
21,57.8017799,230.741012272253,0.49991230840432,0.0644971362946698,0.4479177,2.2850462,0.0103871,0.0126134
22,60.7842813,228.783054914772,0.500062996929077,0.043058102682014,0.4439289,2.4836338,0.0100244,0.0105458
23,63.7804248,228.071374503766,0.500079126512694,0.0278213970640157,0.4738872,2.466193,0.0102457,0.0114703
24,66.4974477,227.671475472414,0.500067280156613,0.0258333786122087,0.4505319,2.2110527,0.0109366,0.0110192
25,69.3742898,227.454778956642,0.500006385094717,0.0257329933886699,0.4435729,2.3768462,0.0104189,0.0109449
26,72.7969299,227.341926621242,0.499887912899534,0.0250720355568672,0.4547768,2.9086503,0.0111811,0.0114197
27,75.5022765,227.184791675549,0.499892433046296,0.0251875758399788,0.4523225,2.1935665,0.0136481,0.0109048
28,78.2697256,226.924609477797,0.500096988413777,0.024156943402306,0.4446579,2.2652709,0.011005,0.0109418
29,81.2292508,226.858030272264,0.500080270231403,0.0240032454033894,0.5207365,2.377509,0.0122206,0.011687
30,84.0416839,226.753687974458,0.500112317869821,0.0235015875929073,0.4722206,2.2848417,0.0099698,0.010607
31,87.0210551,226.702987153599,0.500082718872584,0.023138495230777,0.4593694,2.4622503,0.0103013,0.0106681
32,89.7994391,226.638500930763,0.500068727148994,0.0227482342784516,0.4586094,2.263126,0.010281,0.0105858
33,92.5432083,226.598969848438,0.500025658407733,0.0223248673390199,0.4512616,2.2347626,0.010736,0.0121786
34,95.1466831,226.552209915994,0.4999905205133,0.0219921924773475,0.4356167,2.1126524,0.0102998,0.0103971
35,97.8746183,226.517076981759,0.49994120291251,0.0215899918640713,0.4587675,2.2101328,0.0107558,0.0141903
36,100.5832918,226.480881827924,0.499893347415931,0.0219571743080689,0.4480007,2.2037166,0.0109009,0.0091307
37,103.4298584,226.294446596804,0.500067383546912,0.0208676958217494,0.5161367,2.2765256,0.0107079,0.0088227
38,106.1253283,226.281857902766,0.500021360054752,0.0207037982209318,0.45261,2.1856599,0.011519,0.0104777
39,109.4389088,226.219219731014,0.500027730836795,0.0202877033372899,0.4597376,2.795497,0.0126442,0.0092176
40,112.2032475,226.196086468406,0.499981829468985,0.0200040596273212,0.4701049,2.2401703,0.0102835,0.0079936
41,115.0911291,226.154988649639,0.49995312853424,0.0196553836124677,0.4708477,2.3643485,0.0109877,0.0071307
42,117.7924701,226.130077209421,0.49990309798525,0.0201003787668526,0.4462561,2.2009287,0.0102218,0.0082796
43,120.551207,225.944418141886,0.500086457572733,0.019028398387238,0.4505226,2.2554105,0.0103905,0.0074213
44,123.3190371,225.940645753121,0.500040535687142,0.0189092211553975,0.4425936,2.2707208,0.010444,0.0080672
45,125.9917068,225.882068378814,0.500052722489238,0.018547058326573,0.4537778,2.1659496,0.0102739,0.0073094
46,128.7339765,225.868585237449,0.500007132678872,0.0182476828015218,0.4588011,2.2312542,0.010946,0.0076382
47,131.4740014,225.832595249293,0.499984651028836,0.0179926053701629,0.4558376,2.2317251,0.0110767,0.0077679
48,134.2328516,225.816611529783,0.499937203825975,0.0176831996373643,0.443763,2.2602447,0.0107939,0.0084242
49,137.1200733,225.789910743348,0.499901603118111,0.0182244684915154,0.4447849,2.3907893,0.0097142,0.0075461
50,139.8585421,225.622129588398,0.500078824138738,0.0171252869561705,0.4547173,2.2283851,0.0104797,0.0095166
51,142.76786,225.616995514873,0.500048671750072,0.0170947468824204,0.4497786,2.4066341,0.0109551,0.0078222
52,145.5918669,225.566712090605,0.500064767117516,0.0167159968946166,0.4691046,2.3039136,0.0099974,0.0074408
53,148.4308273,225.55403598479,0.500031438218315,0.0165569990415845,0.4574132,2.328418,0.010232,0.00761
54,151.374247,225.522722994042,0.500016164211169,0.0162207674987783,0.4723927,2.4172736,0.0101627,0.0095501
55,154.2244884,225.508554126228,0.499979011692702,0.0161069050313775,0.5102173,2.287145,0.0109422,0.0074886
56,157.1806473,225.484297973955,0.499952096837998,0.0157472626277375,0.4412952,2.4611763,0.0112286,0.0097287
57,159.8655983,225.469329770735,0.499914009705616,0.0164374045973372,0.4462553,2.1878048,0.0103613,0.007223
58,162.7045636,225.29809909108,0.500106421601439,0.0152989196835753,0.4453822,2.3379433,0.0115764,0.0082139
59,165.524822,225.300598823829,0.500079291713583,0.0153968245989243,0.4759702,2.2908073,0.0102185,0.0080483
60,168.3598362,225.252265043682,0.500105569062232,0.014976202291059,0.4366225,2.3408687,0.0110908,0.0093798
61,171.1166296,225.246650327872,0.500076799337545,0.0148802259654616,0.4419821,2.2642292,0.010794,0.0082295
62,173.8515917,225.219466436281,0.50006972217519,0.0145986451054289,0.4342545,2.2472744,0.0104374,0.0088664
63,176.706958,225.211170619263,0.500038656144608,0.0144253078413327,0.4989674,2.3000165,0.0111777,0.0081247
64,179.4871425,225.1926659253,0.500018438672608,0.0142299064064925,0.4520162,2.2786705,0.0104076,0.0082053
65,182.2082099,225.183163851198,0.499987504344265,0.0140072341225816,0.4287273,2.2365863,0.0110626,0.0081443
66,184.9681463,225.168902520219,0.499962476637129,0.0138720816121843,0.4411666,2.2629106,0.0121201,0.0094569
67,187.7148497,225.158569238838,0.499933099083557,0.0136394991267371,0.4404478,2.2566185,0.0098356,0.0075855
68,190.3859974,225.146125507803,0.499906506261632,0.014282380293319,0.4428383,2.1771363,0.0101147,0.0082658
69,193.0292345,224.987355671773,0.500100377405649,0.0133056653421531,0.4322746,2.1564177,0.0111714,0.0077509
70,196.0995431,224.989980920809,0.500087788776251,0.0128841017471963,0.4312916,2.5873868,0.0106026,0.0077627
71,198.8491648,225.096853465544,0.499898133352235,0.0138567337152894,0.4359515,2.2616632,0.0111546,0.0082085
72,201.6155165,224.928832174603,0.500090925154585,0.0127367373084654,0.4320136,2.2786666,0.0112368,0.0092701
73,204.2714012,224.951281641007,0.500046322335274,0.0128007783776558,0.4317842,2.1698959,0.0107119,0.0081741
74,206.9810659,224.906624558089,0.500077014783873,0.0125558340151551,0.4378943,2.2206996,0.0108051,0.0077377
75,209.6378743,224.909386241014,0.500048509356065,0.0124101017073397,0.435649,2.1684263,0.0105628,0.0084645
76,212.9930228,224.884729345134,0.500049483221659,0.0122670249761285,0.4416199,2.8590143,0.0110916,0.0075137
77,215.9475744,224.881066448986,0.500024480562478,0.0121084711077823,0.4634951,2.4375133,0.010414,0.0077633
78,218.9256156,224.864909839917,0.500013401117663,0.0119554126215576,0.4781474,2.4464701,0.0104471,0.0088213
79,221.6105902,224.859692586064,0.499989747513556,0.0118346985226337,0.4238369,2.2077736,0.0104589,0.0088759
80,224.3123537,224.848741412396,0.499973239567426,0.0116629343968775,0.4603635,2.1844975,0.0111905,0.0093828
81,226.9491539,224.843180088532,0.499951153759625,0.0115309290759983,0.4358427,2.1540983,0.0111129,0.0080876
82,229.6489722,224.834765254582,0.49993306694662,0.0113990100598281,0.4400831,2.2107671,0.0114176,0.0081617
83,232.3737038,224.828982252385,0.499912484111576,0.0112489340112466,0.4289171,2.24501,0.0127469,0.0080346
84,235.1099188,224.822026702212,0.499893896716708,0.0119102698121691,0.4217486,2.2590827,0.0108302,0.0092469
85,237.876256,224.670035686469,0.500095250811026,0.0109982315621868,0.428903,2.284263,0.0113352,0.0082165
86,240.653548,224.676773274202,0.500093098541269,0.0107028613987895,0.4467155,2.2742627,0.0124239,0.0088311
87,243.4145163,224.786999335266,0.499913835898314,0.0107889089679377,0.4342805,2.2756209,0.0107024,0.0075616
88,246.2680305,224.773375289254,0.499891665068058,0.0113412629611325,0.4521553,2.3467132,0.0113578,0.0085872
89,249.2144181,224.639941748027,0.500062320321591,0.0104743314601996,0.4571141,2.4337403,0.0113275,0.0088365
90,252.1389462,224.644864168956,0.500056684864448,0.010464698215124,0.4663275,2.4022226,0.0106551,0.0080809
91,254.8137345,224.615382309784,0.500086877550238,0.0102995081299997,0.4431758,2.1733336,0.0102638,0.0131315
92,257.6386696,224.613881848712,0.500079758235979,0.0101863626466518,0.4652272,2.3018501,0.0123666,0.0097381
