iteration,time_seconds,compliance,volume_fraction,change,time_fe_assembly,time_fe_solve,time_filter,time_optimizer
1,0.6330659,1027.43233659994,0.5,1,0.0428133,0.0537734,0.0413381,0.4800577
2,1.1764301,762.778722841356,0.471832683072622,0.199965676628258,0.0456258,0.0531051,0.0326726,0.3993597
3,1.7255286,572.559061551043,0.480520780573964,0.170778316045691,0.0496729,0.0587003,0.0309105,0.39891
4,2.3341994,468.601654363108,0.487137216530045,0.151924267518995,0.0421703,0.0633652,0.038463,0.4530366
5,2.9306019,410.102275007363,0.492054840744381,0.136729433781028,0.0472298,0.0543941,0.0361326,0.4448715
6,3.4973196,379.314457088313,0.495760160810734,0.122926373506605,0.044327,0.0559837,0.0313807,0.4212539
7,4.0909847,362.780124146225,0.49741187725714,0.131848918417692,0.0457594,0.0528883,0.0309384,0.4564848
8,4.6540643,352.146158019047,0.498087236171452,0.143382808907951,0.0494988,0.0554416,0.0371601,0.4124476
9,5.2205034,344.379746806091,0.498510285172781,0.162682145652351,0.0412335,0.0545879,0.0303074,0.4325099
10,5.7965046,338.293966996087,0.498767375684831,0.168916232625545,0.0431259,0.0580369,0.0302807,0.4367299
11,6.3328762,332.485998949717,0.498721023541312,0.161710921884535,0.0435989,0.0515743,0.0314297,0.4019026
12,6.8893789,326.375204604809,0.498537071083951,0.129050380053624,0.0421962,0.0527044,0.0308011,0.423271
13,7.4354308,320.049406280834,0.498517194295543,0.14235388284256,0.0474572,0.0533198,0.0327895,0.4013559
14,7.9667665,313.72008477076,0.498510888199255,0.180997187508589,0.039428,0.049335,0.0357449,0.398224
15,8.5064416,307.830708030244,0.498618445367818,0.176919343542576,0.0447037,0.052973,0.0300497,0.4047946
16,9.0425925,302.121000067041,0.49865064539884,0.188166124005598,0.0440276,0.0537987,0.0315933,0.3990051
17,9.6663508,296.399893927873,0.498637077467757,0.191884702728843,0.0458498,0.0503735,0.0304341,0.4897932
18,10.3488474,290.179048882567,0.498363393856605,0.193677672433474,0.0543847,0.0861292,0.0452106,0.4858715
19,10.9421398,283.705850622248,0.497771824584785,0.196291655979334,0.0507529,0.0598576,0.0364706,0.4347542
20,11.5150957,277.531159231986,0.496747888565097,0.196557260578522,0.0435926,0.0545504,0.0309984,0.4354363
21,12.0668554,271.92394783626,0.495010070327019,0.198425798569009,0.0474097,0.0540929,0.030493,0.4114604
22,12.5877821,262.504543447083,0.496173619839742,0.198180413065492,0.0423882,0.0504629,0.0308774,0.389595
23,13.1726041,256.211371819741,0.498215843651572,0.197900451167741,0.0415003,0.0544081,0.0310996,0.4489087
24,13.726753,252.453541753546,0.498839021248945,0.196786100401241,0.0382246,0.0489169,0.0284921,0.4310058
25,14.2753911,249.719508483713,0.498997952319701,0.196352479002653,0.0382582,0.0439398,0.0334815,0.4226933
26,14.8400898,247.6953954669,0.499338144895004,0.195642726261728,0.042103,0.0506556,0.0288852,0.4345854
27,15.4444658,246.195392537772,0.499443970966686,0.194704283470245,0.0444343,0.054039,0.0293165,0.4691628
28,16.0425842,244.80545751434,0.499440959547228,0.192389315291965,0.0483766,0.0558448,0.0334512,0.4530054
29,16.6185933,243.406855312988,0.499402704218242,0.191032040816323,0.0419333,0.0509278,0.0303043,0.4459751
30,17.2387924,242.038545823208,0.499404021714882,0.187757882529766,0.0432322,0.0519842,0.0336088,0.4806762
31,17.8157996,240.974839443629,0.499625116833114,0.187239649118783,0.0415413,0.0525731,0.0331678,0.4397657
32,18.3916763,240.209440228999,0.499682904941592,0.182636774071994,0.0410405,0.0488255,0.0287101,0.4509674
33,18.9865226,239.555110476746,0.499749772392797,0.181260066979817,0.040659,0.0500726,0.0287902,0.4687026
