iteration,time_seconds,compliance,volume_fraction,change,time_fe_assembly,time_fe_solve,time_filter,time_optimizer
1,0.8453453,1027.43233659994,0.5,1,0.0439794,0.0584748,0.0145872,0.7136149
2,1.3862423,751.472585935577,0.472186082129077,0.199974712828075,0.0427664,0.0546898,0.0132159,0.4177091
3,1.9112112,559.69163770088,0.481480974145242,0.172619412877673,0.041386,0.0515613,0.0101558,0.4139863
4,2.4371437,456.443108135678,0.48833500107199,0.151477896861788,0.0421105,0.0497827,0.0109992,0.4155259
5,3.0332097,399.596232997192,0.492998722209491,0.135245513202325,0.0447561,0.0591459,0.0109857,0.4680816
6,3.5649895,369.733386866631,0.49649527241858,0.119083922640822,0.0424753,0.0462312,0.0095787,0.4236799
7,4.1124784,353.184285573688,0.497965425834066,0.118023233175986,0.0474224,0.0576036,0.0105651,0.4218901
8,4.6165604,343.971300833651,0.498343878395151,0.190883085769501,0.0406827,0.0504693,0.0103254,0.3962216
9,5.1290057,336.671766383382,0.498290836769231,0.199350861197214,0.0456693,0.0465774,0.0103772,0.4031015
10,5.6608441,328.81226686851,0.498514765737633,0.199074944124227,0.0417474,0.0500883,0.0099193,0.4233843
11,6.1669207,323.676227482822,0.498636496894811,0.199724474510684,0.0425117,0.0514777,0.0098666,0.3951818
12,6.7006341,320.250848263045,0.498321618270624,0.199753156206588,0.0401305,0.0512037,0.0115328,0.4208506
13,7.2426776,315.665385336673,0.497899520248911,0.199931677989554,0.0432058,0.0489129,0.0112989,0.4316128
14,7.7812849,308.28566359112,0.498092769953717,0.199842630833819,0.0459354,0.0556125,0.0109458,0.4186646
15,8.3449755,303.057369792609,0.498382091822937,0.1998959655027,0.0424868,0.0523687,0.01071,0.4511054
16,8.8696005,297.508004693157,0.498155605346347,0.199937226595425,0.0396624,0.0500205,0.0092788,0.4189888
17,9.3861979,292.254280752901,0.497975511164147,0.199877647908219,0.0384387,0.0526447,0.0114535,0.4052801
18,9.88871,286.117542530462,0.496590692151331,0.199914914540871,0.0439508,0.0550807,0.010682,0.3845909
19,10.4124143,285.316867590639,0.494136944032589,0.199929107106303,0.0406521,0.0504769,0.010696,0.4139118
20,11.0080903,275.246485683409,0.492026717709001,0.199952385729911,0.0464999,0.0577571,0.0180869,0.4667114
21,11.6223999,271.19105538962,0.492740284115568,0.199967860108069,0.0486095,0.0563233,0.0111633,0.4899381
22,12.2411959,263.658887841275,0.493092465149133,0.19996341985878,0.043107,0.051776,0.0117668,0.5050502
23,12.8493903,258.410381500556,0.494011734024727,0.199952236536394,0.0544953,0.0569699,0.0104772,0.4791146
24,13.4546464,251.440965985594,0.495108174235225,0.199920086733792,0.0408416,0.0486907,0.0105135,0.4970806
25,14.131543,246.095408889164,0.496363040525139,0.199897188735383,0.0439913,0.0544335,0.0142485,0.5539557
26,14.933945,240.486991133998,0.497125100879616,0.199919056138047,0.0533165,0.0591414,0.013151,0.66708
27,15.6591114,237.314753350905,0.497895213285624,0.19977453990529,0.0585528,0.0730786,0.0123731,0.5713496
28,16.421061,234.30909963641,0.498205370600069,0.199839587700855,0.0606662,0.0618989,0.0156891,0.6077573
29,17.1981445,232.077661322568,0.498657496608184,0.199726988989586,0.0466625,0.056585,0.010757,0.6560176
30,18.007379,231.070263012337,0.498404407099265,0.199878614434064,0.06457,0.0591608,0.0144489,0.6618963
31,18.6938395,229.203234202333,0.498680379146254,0.199810495825835,0.0416015,0.0598429,0.0108832,0.5656878
32,19.4037561,228.219929052378,0.49880149168258,0.199745504504998,0.0491791,0.0538657,0.0112044,0.5884726
33,20.1674909,227.08243226953,0.499124984513458,0.199800905922678,0.0429711,0.0542602,0.0103444,0.6486565
34,20.922473,225.955594480307,0.499364848162083,0.19984523568842,0.046521,0.0570851,0.0110094,0.6304578
35,21.6898854,225.801894146497,0.499401676491722,0.199882330059902,0.0462561,0.0512112,0.0103743,0.6527863
36,22.561171,225.421185809261,0.499435805123935,0.199880179589813,0.0565732,0.058718,0.0114908,0.7370377
37,23.3534128,224.972060577917,0.499477559851358,0.199604296872534,0.0497166,0.0572714,0.0111571,0.6638464
38,24.0774385,224.679607787142,0.499560275666863,0.199763685085895,0.0439512,0.0531147,0.0100236,0.6078107
39,24.796352,224.462995426196,0.499635944016333,0.199800318590797,0.0499574,0.0590565,0.0109895,0.5894621
