iteration,time_seconds,compliance,volume_fraction,change,time_fe_assembly,time_fe_solve,time_filter,time_optimizer
1,0.1725883,1027.43233659994,0.5,0.2,0.0518784,0.069579,0.0146551,0.0179375
2,0.3275873,589.809415759609,0.499974628292934,0.2,0.050176,0.063412,0.012129,0.0104215
3,0.4608839,419.003223527947,0.500152209453143,0.2,0.048253,0.055482,0.0106616,0.0099717
4,0.5913194,352.59314832021,0.500224607175875,0.2,0.0475341,0.0533907,0.0107963,0.0104935
5,0.7367228,333.973378254355,0.499939889168166,0.14253246904775,0.0453548,0.0607141,0.012396,0.011727
6,0.8737235,323.480028985424,0.50007275528744,0.173780903391306,0.045618,0.0571303,0.0106213,0.0102758
7,1.0000523,315.871675470003,0.500191625091778,0.122686191438671,0.0441334,0.0532885,0.0107881,0.0103839
8,1.1281766,309.314423252698,0.500041665286149,0.153232771789228,0.0449139,0.0557592,0.0099995,0.0104355
9,1.2627389,303.071360605049,0.49988070796519,0.117063311742895,0.0460674,0.0561643,0.0105753,0.0111378
10,1.3923112,296.987997890658,0.499854332037237,0.133366378362439,0.0442453,0.0559017,0.0103769,0.010874
11,1.5220156,291.248979011054,0.500062893348616,0.109906862684585,0.048152,0.0540359,0.0105333,0.0102062
12,1.6516663,286.332242089893,0.500065295129234,0.118912486441306,0.0458504,0.0558695,0.0099274,0.0099785
13,1.7830121,280.854857184856,0.500213639210278,0.10189295401178,0.0462082,0.0543074,0.0107502,0.0109221
14,1.9129777,275.198574545096,0.499977122776322,0.115860535540583,0.047846,0.0543984,0.0104257,0.0105431
15,2.0390126,268.014680479352,0.500016718457557,0.111266873225814,0.0434245,0.0560919,0.0099688,0.009794
16,2.1682491,260.032761096714,0.500156772536804,0.123042670312788,0.0451259,0.0556393,0.0104181,0.0109561
17,2.2968757,251.800048197167,0.500067395645554,0.103710291057167,0.0459982,0.0544183,0.0106704,0.0108867
18,2.4270328,243.752328942821,0.499810505122701,0.121503944050178,0.0475367,0.0555983,0.0102789,0.009775
19,2.5529289,235.986298082445,0.499783895069966,0.111960323226729,0.0439979,0.0527493,0.0102275,0.0109771
20,2.6861558,229.215252134055,0.50004268056321,0.0860356521322519,0.0480165,0.053195,0.0113086,0.0124392
21,2.8249922,225.092703833495,0.499955863932523,0.0646588493995308,0.0493952,0.0611614,0.010151,0.0109157
22,2.9579816,223.128519590312,0.500104198783854,0.0423452544363598,0.0456407,0.0579373,0.0102665,0.0109841
23,3.0921499,222.56276651405,0.499907838945218,0.0273797236479776,0.0480037,0.0573044,0.0104619,0.0112411
24,3.2247639,222.140136685767,0.499904900785387,0.0257724868343584,0.0469426,0.0573248,0.0106224,0.0107717
25,3.3740806,221.791965302331,0.50002853437233,0.025643901217224,0.0430767,0.0615294,0.0152594,0.0196409
26,3.5128459,221.69736306768,0.499907948485499,0.0252353970215946,0.0526642,0.0574341,0.0103068,0.0112704
27,3.6468756,221.514331709249,0.499958731063334,0.0245322845775182,0.0452188,0.0573993,0.0110456,0.0117252
28,3.7761482,221.416964618575,0.499939429853241,0.0243404894050867,0.0464565,0.0530974,0.0105919,0.0110486
29,3.8981005,221.316947496771,0.499941602159917,0.0238793741924408,0.0443396,0.0505876,0.0103215,0.011007
30,4.0163722,221.250594119716,0.499913608409792,0.0235320733779959,0.0399168,0.0513555,0.0099946,0.0098708
31,4.1399725,221.186208180398,0.499888824848312,0.023851705733169,0.0435759,0.0534622,0.0101137,0.0101496
32,4.2616467,220.982389355052,0.50007600429628,0.0227027977747166,0.0424815,0.051892,0.0106502,0.0105695
33,4.3835578,220.957252385437,0.500039895215535,0.0225154214898601,0.0413557,0.0528178,0.0102846,0.0108241
34,4.5087199,220.883796570211,0.500054781130373,0.0220551578088539,0.0424089,0.0540237,0.0102241,0.0117048
35,4.6422012,220.853465158,0.500013382594027,0.0216982566055424,0.0485077,0.0556988,0.0103221,0.0110356
36,4.7761096,220.807058163503,0.499987292421212,0.0212956212445584,0.046642,0.0580566,0.0107358,0.0096514
37,4.9146814,220.776722692649,0.499939635474116,0.021000697291914,0.0572276,0.0526238,0.0105295,0.0113854
38,5.0370279,220.739749463114,0.499897691333626,0.0213323353557459,0.0451947,0.0512778,0.0105822,0.0080033
39,5.154217,220.558258542365,0.500070837055255,0.02025362147841,0.0431587,0.0512577,0.0100678,0.0068975
40,5.2734303,220.544375281642,0.500030266732062,0.0201593602685987,0.0428142,0.0524878,0.0099927,0.0077554
41,5.3990524,220.48415186218,0.500037174918375,0.0197223994234803,0.0456915,0.0536816,0.0104654,0.0084773
42,5.5361839,220.461493819913,0.499993915383868,0.0194404016338224,0.0494614,0.0600115,0.0104574,0.0096537
