check,sample_index,h,analytical,finite_difference,abs_error,rel_error
Classical SIMP,6,1e-06,-86.0852298644387,-86.0847768535677,0.000453010870984372,5.26235303893296e-06
Classical SIMP,26,1e-06,-29.992940777637,-29.9927335163375,0.000207261299539852,6.91033603795155e-06
Classical SIMP,27,1e-06,-31.2841553366765,-31.2840146534654,0.000140683211061088,4.49694772152456e-06
Classical SIMP,39,1e-06,-14.3513227034346,-14.3513481134505,2.54100158869619e-05,1.77056961313264e-06
Classical SIMP,38,1e-06,-24.2296232912502,-24.2295924408609,3.08503892973988e-05,1.27325088494213e-06
Classical SIMP,47,1e-06,-42.0878290170382,-42.0877356646088,9.33524294239874e-05,2.21803860175815e-06
MTOP per-cell,605,1e-06,-2.82949056152461,-2.82956671071588,7.61491912739665e-05,2.69126860889528e-05
MTOP per-cell,588,1e-06,-0.830622420020902,-0.83058739619446,3.50238264426039e-05,4.21657609985083e-05
MTOP per-cell,1051,1e-06,-0.662973800951341,-0.662991283206793,1.74822554516174e-05,2.63694514421702e-05
MTOP per-cell,423,1e-06,-7.9064970674202,-7.90591434451926,0.000582722900936972,7.37017791783116e-05
MTOP per-cell,538,1e-06,-6.84411391858927,-6.84419921981316,8.53012238897222e-05,1.24634430262822e-05
MTOP per-cell,1152,1e-06,-1.2616009144224,-1.26163035929494,2.94448725430829e-05,2.33392923280844e-05
Full chain,605,1e-06,-15.8219409129794,-15.8216661247934,0.000274788186040098,1.73675396432986e-05
Full chain,588,1e-06,-6.81961663067592,-6.81944641200971,0.000170218666211142,2.49601517841144e-05
Full chain,1051,1e-06,-2.81674078826363,-2.81679467661888,5.38883552581026e-05,1.9131456995488e-05
Full chain,423,1e-06,-38.0235646380367,-38.0236800765488,0.000115438512075627,3.03597290718369e-06
Full chain,538,1e-06,-28.2586636061656,-28.2588009667961,0.000137360630478867,4.86083250054672e-06
Full chain,1152,1e-06,-5.21762536178899,-5.21765787198092,3.25101919242954e-05,6.23084059702371e-06
